Size,PositionDir,Dir,Returnn,Abort,ExpectedGain,MaxLoss
1,-1,0,-9,-9,0,0
1,1,1,33,0,16.666666671,-1
2,-1,0,-9,-9,0,0
2,1,1,33,1,16.944444449,-1
3,-1,0,-9,-9,0,0
3,1,1,33,1,13.611111115,-2
4,-1,0,-9,-9,0,0
4,1,1,33,1,20.000000004,-3
5,-1,0,-9,-9,0,0
5,1,1,28,1,20.833333329,-4
6,-1,0,-9,-9,0,0
6,1,1,28,1,17.777777774,-5
7,-1,0,-9,-9,0,0
7,1,1,28,1,13.333333329,-6
8,-1,-1,0,100,12.777777779,-92
8,1,0,-9,-9,0,0
9,-1,-1,2,100,16.111111111,-91
9,1,0,-9,-9,0,0
10,-1,-1,0,100,16.666666664,-90
10,1,0,-9,-9,0,0
11,-1,-1,2,100,22.777777778,-89
11,1,0,-9,-9,0,0
12,-1,-1,2,100,21.666666662,-88
12,1,0,-9,-9,0,0
13,-1,-1,2,100,25.000000002,-87
13,1,0,-9,-9,0,0
14,-1,-1,0,100,24.722222224,-86
14,1,0,-9,-9,0,0
15,-1,-1,0,100,27.222222224,-85
15,1,0,-9,-9,0,0
16,-1,-1,7,100,37.499999993,-84
16,1,0,-9,-9,0,0
17,-1,-1,7,100,44.166666663,-83
17,1,0,-9,-9,0,0
18,-1,-1,7,100,49.722222243,-82
18,1,0,-9,-9,0,0
19,-1,-1,6,100,51.111111109,-81
19,1,0,-9,-9,0,0
20,-1,-1,6,100,55.555555559,-80
20,1,0,-9,-9,0,0
21,-1,-1,6,100,60.833333329,-79
21,1,0,-9,-9,0,0
22,-1,-1,6,100,54.722222222,-78
22,1,0,-9,-9,0,0
23,-1,-1,6,100,58.055555562,-77
23,1,0,-9,-9,0,0
24,-1,-1,6,100,63.333333322,-76
24,1,0,-9,-9,0,0
25,-1,-1,6,100,66.111111112,-75
25,1,0,-9,-9,0,0
26,-1,-1,6,100,52.499999998,-74
26,1,0,-9,-9,0,0
27,-1,-1,6,100,55.555555558,-73
27,1,0,-9,-9,0,0
28,-1,-1,6,100,58.611111108,-72
28,1,0,-9,-9,0,0
29,-1,-1,2,100,73.611111105,-71
29,1,0,-9,-9,0,0
30,-1,-1,2,100,75.555555555,-70
30,1,0,-9,-9,0,0
31,-1,-1,2,100,79.444444435,-69
31,1,0,-9,-9,0,0
32,-1,-1,2,100,82.500000005,-68
32,1,0,-9,-9,0,0
33,-1,-1,2,100,85.277777785,-67
33,1,0,-9,-9,0,0
34,-1,-1,0,100,64.999999994,-66
34,1,0,-9,-9,0,0
35,-1,-1,16,100,68.05555555,-65
35,1,0,-9,-9,0,0
36,-1,-1,16,100,72.5,-64
36,1,0,-9,-9,0,0
37,-1,-1,16,100,77.22222222,-63
37,1,0,-9,-9,0,0
38,-1,-1,16,100,80.27777776,-62
38,1,0,-9,-9,0,0
39,-1,-1,16,100,84.44444444,-61
39,1,0,-9,-9,0,0
40,-1,-1,16,100,88.05555555,-60
40,1,0,-9,-9,0,0
41,-1,-1,16,100,92.22222221,-59
41,1,0,-9,-9,0,0
42,-1,-1,16,100,96.38888888,-58
42,1,0,-9,-9,0,0
43,-1,-1,16,100,100.27777778,-57
43,1,0,-9,-9,0,0
44,-1,-1,16,100,104.44444444,-56
44,1,0,-9,-9,0,0
45,-1,-1,0,64,62.777777784,-19
45,1,0,-9,-9,0,0
46,-1,-1,0,64,65.833333334,-18
46,1,0,-9,-9,0,0
47,-1,-1,15,64,70.00000001,-17
47,1,0,-9,-9,0,0
48,-1,-1,15,80,59.16666667,-32
48,1,0,-9,-9,0,0
49,-1,-1,15,80,62.77777777,-31
49,1,0,-9,-9,0,0
50,-1,-1,15,80,64.72222223,-30
50,1,0,-9,-9,0,0
51,-1,-1,15,80,68.88888889,-29
51,1,0,-9,-9,0,0
52,-1,-1,15,80,73.05555555,-28
52,1,0,-9,-9,0,0
53,-1,-1,15,80,76.66666668,-27
53,1,0,-9,-9,0,0
54,-1,-1,15,80,81.38888889,-26
54,1,0,-9,-9,0,0
55,-1,-1,15,64,86.11111112,-9
55,1,0,-9,-9,0,0
56,-1,-1,15,64,91.38888889,-8
56,1,0,-9,-9,0,0
57,-1,-1,15,64,97.50000001,-7
57,1,0,-9,-9,0,0
58,-1,-1,15,64,101.66666668,-6
58,1,0,-9,-9,0,0
59,-1,-1,15,65,106.1111111,-6
59,1,0,-9,-9,0,0
60,-1,-1,15,66,108.33333333,-6
60,1,0,-9,-9,0,0
61,-1,-1,15,66,113.61111111,-5
61,1,0,-9,-9,0,0
62,-1,-1,0,67,99.166666654,-5
62,1,0,-9,-9,0,0
63,-1,-1,0,80,41.944444446,-17
63,1,0,-9,-9,0,0
64,-1,0,-9,-9,0,0
64,1,1,100,0,35.55555556,-64
65,-1,0,-9,-9,0,0
65,1,1,100,0,34.72222222,-65
66,-1,0,-9,-9,0,0
66,1,1,100,0,33.33333333,-66
67,-1,0,-9,-9,0,0
67,1,1,100,0,32.5,-67
68,-1,0,-9,-9,0,0
68,1,1,100,0,31.66666667,-68
69,-1,0,-9,-9,0,0
69,1,1,90,0,37.77777778,-69
70,-1,0,-9,-9,0,0
70,1,1,90,0,35.83333333,-70
71,-1,0,-9,-9,0,0
71,1,1,90,0,32.77777779,-71
72,-1,0,-9,-9,0,0
72,1,1,90,0,31.66666667,-72
73,-1,0,-9,-9,0,0
73,1,1,88,0,33.61111111,-73
74,-1,0,-9,-9,0,0
74,1,1,88,0,30.83333334,-74
75,-1,0,-9,-9,0,0
75,1,1,88,0,28.33333333,-75
76,-1,0,-9,-9,0,0
76,1,1,88,0,25.27777778,-76
77,-1,0,-9,-9,0,0
77,1,1,100,0,22.77777778,-77
78,-1,0,-9,-9,0,0
78,1,1,100,0,21.66666667,-78
79,-1,0,-9,-9,0,0
79,1,1,100,0,20.83333333,-79
80,-1,0,-9,-9,0,0
80,1,1,100,0,20,-80
81,-1,0,-9,-9,0,0
81,1,1,100,0,18.88888889,-81
82,-1,0,-9,-9,0,0
82,1,1,100,0,17.77777778,-82
83,-1,0,-9,-9,0,0
83,1,1,100,0,16.94444444,-83
84,-1,0,-9,-9,0,0
84,1,1,100,0,15.27777778,-84
85,-1,0,-9,-9,0,0
85,1,1,100,0,15,-85
86,-1,0,-9,-9,0,0
86,1,1,97,0,16.38888889,-86
87,-1,0,-9,-9,0,0
87,1,1,97,0,14.44444444,-87
88,-1,0,-9,-9,0,0
88,1,1,97,0,15.83333332,-88
89,-1,0,-9,-9,0,0
89,1,1,97,0,13.88888888,-89
90,-1,0,-9,-9,0,0
90,1,1,97,0,10.27777777,-90
91,-1,0,-9,-9,0,0
91,1,1,100,0,8.33333333,-91
92,-1,0,-9,-9,0,0
92,1,1,100,0,7.5,-92
93,-1,0,-9,-9,0,0
93,1,1,100,0,6.66666667,-93
94,-1,0,-9,-9,0,0
94,1,1,100,0,5.83333333,-94
95,-1,0,-9,-9,0,0
95,1,1,0,0,5,-95
96,-1,0,-9,-9,0,0
96,1,1,0,0,5,-96
97,-1,0,-9,-9,0,0
97,1,1,0,0,5,-97
98,-1,0,-9,-9,0,0
98,1,1,0,0,5,-98
99,-1,0,-9,-9,0,0
99,1,1,0,0,5,-99
